epoch,seed,lr,train_loss,val_loss,mean_abs_delta,epoch_time_s
1,51,0.001,0.018060855074402166,0.017563273923264608,,39.36846979099937
2,51,0.0009999383779245895,0.017682414200595197,0.01730455520252387,,39.694894202000796
3,51,0.000999753526902683,0.017417421126190352,0.017068480244941182,,39.202855489000285
4,51,0.0009994454925435043,0.017201198292348313,0.01686466857790947,,39.18504086199937
5,51,0.000999014350849922,0.016904285451506868,0.016461637078060046,,38.85998884100081
6,51,0.0009984602081996978,0.016231202602605608,0.015531599107715819,,38.6145052869997
7,51,0.0009977832013192388,0.015618106021600612,0.015163601583076848,,38.603193334000025
8,51,0.0009969834972498627,0.0155927199349903,0.015592685279746851,,38.56796031399972
9,51,0.000996061293306582,0.015240193262477131,0.014771465419067277,,38.5993519750009
10,51,0.0009950168170294207,0.015216664150905083,0.01622627613445123,,38.569299046001106
11,51,0.0009938503261272716,0.01526124680907849,0.015243467667864429,,38.57885193400034
12,51,0.0009925621084143099,0.014947048429509295,0.014553967138959302,,38.56916816900048
13,51,0.0009911524817389804,0.015359737800762933,0.015905869607296255,,38.56726880699898
14,51,0.0009896217939055723,0.015584832509322202,0.014944657062490782,,38.733258007001496
15,51,0.0009879704225884047,0.015085820930407327,0.014691535486943193,,38.59111592800036
16,51,0.0009861987752386398,0.014883969841963229,0.014493584943314394,,38.57654257700051
17,51,0.0009843072889837514,0.014825759852743325,0.014613404352631833,,38.55191482200098
18,51,0.0009822964305196704,0.014843556126031806,0.014522259951465659,,38.54875241500122
19,51,0.0009801666959956333,0.014780635931803024,0.014496558863255713,,38.63635371900091
20,51,0.0009779186108917661,0.014746021178057966,0.014471108197338052,,38.57190521800112
21,51,0.0009755527298894296,0.014670519391074777,0.014579341746866703,,38.61825083700023
22,51,0.0009730696367343592,0.014650107854429413,0.014475968148973253,,38.58277042900045
23,51,0.0009704699440926359,0.014666175154749961,0.014501163632505469,,38.582718108000336
24,51,0.0009677542933995191,0.014627251253627679,0.01447100637273656,,38.57544806599981
25,51,0.0009649233547011819,0.014618263963390799,0.014432138970328702,,38.598543455000254
26,51,0.000961977826489388,0.014596765765043743,0.014425223900212182,,38.582579421001356
27,51,0.0009589184355291488,0.014603929594159126,0.01443114835355017,,38.51916746800089
28,51,0.0009557459366794051,0.014612285831176183,0.01440437345041169,,38.459545030998925
29,51,0.000952461112706777,0.014573392239125335,0.014411378134455945,,38.33716890799951
30,51,0.0009490647740924278,0.01456054552074741,0.014438661022318734,,38.216151521999564
31,51,0.00094555775883209,0.014579722767367083,0.01439799192465014,,38.07611791900126
32,51,0.0009419409322293028,0.014596465262858307,0.014442129784988033,,37.97246522000023
33,51,0.0009382151866819101,0.014573706875500433,0.014504670061998896,,37.885966793999614
34,51,0.0009343814414618769,0.014594873249092522,0.014521403859059015,,37.86634594899988
35,51,0.0009304406424884702,0.014579211019308251,0.014450239224566353,,37.888455238999086
36,51,0.0009263937620948695,0.01455867153537624,0.01448223926126957,,37.8749329989987
37,51,0.000922241798788257,0.01457931675181231,0.014376478580137094,,37.75329508899995
38,51,0.0009179857770034514,0.014545465600402915,0.014398288706110584,,37.83231021099891
39,51,0.000913626746850144,0.014550204019007437,0.01436181707928578,,37.81465945899981
40,51,0.0009091657838537996,0.014539770686122425,0.014356893797715506,,37.70525848499892
41,51,0.0009046039886902867,0.014569164760520352,0.014352622648908032,,37.700730389000455
42,51,0.0008999424869143022,0.014531834708417164,0.01439157035201788,,37.63305909600058
43,51,0.0008951824286816577,0.01453494988655781,0.01437819635288583,,37.59848035699906
44,51,0.0008903249884654961,0.014554171864052905,0.014347935923271708,,37.54933223199987
45,51,0.0008853713647665072,0.014547178001307389,0.014439580962061882,,37.57237364100001
46,51,0.000880322779817216,0.01452899896813666,0.01435005095683866,,37.5432775320005
47,51,0.0008751804792804151,0.01453856534927207,0.014364941045641899,,37.42928543800008
48,51,0.000869945731941816,0.014532267718630679,0.014365416227115525,,37.40465726799994
49,51,0.0008646198293969955,0.014519437188830446,0.014343115087184641,,37.373748247999174
50,51,0.0008592040857327133,0.01454095684868448,0.014360758682919873,,37.40575094199994
51,51,0.0008536998372026809,0.014524738633019082,0.01445322266469399,,37.38460217899956
