iter	Passed	Remaining
399	32734	49101
400	32816	49020
401	32887	48921
402	32964	48833
403	33032	48730
404	33111	48645
405	33203	48578
406	33278	48487
407	33373	48423
408	33459	48348
409	33531	48252
410	33618	48178
411	33690	48082
412	33773	48002
413	33856	47922
414	33944	47849
415	34021	47761
416	34096	47670
417	34182	47593
418	34245	47486
419	34328	47405
420	34409	47323
421	34481	47227
422	34560	47142
423	34629	47043
424	34725	46981
425	34793	46880
426	34857	46775
427	34956	46717
428	35021	46613
429	35104	46533
430	35196	46465
431	35282	46390
432	35358	46300
433	35437	46216
434	35500	46110
435	35592	46041
436	35664	45947
437	35755	45877
438	35830	45788
439	35915	45710
440	35995	45626
441	36074	45542
442	36150	45453
443	36244	45387
444	36325	45305
445	36409	45226
446	36493	45147
447	36573	45063
448	36654	44981
449	36719	44879
450	36814	44814
451	36887	44721
452	36964	44634
453	37034	44539
454	37104	44443
455	37173	44347
456	37267	44280
457	37342	44190
458	37434	44121
459	37501	44023
460	37578	43936
461	37665	43861
462	37738	43769
463	37828	43698
464	37894	43598
465	37988	43531
466	38066	43446
467	38161	43380
468	38246	43301
469	38327	43220
470	38397	43125
471	38464	43028
472	38564	42966
473	38638	42877
474	38708	42782
475	38797	42710
476	38865	42613
477	38942	42527
478	39028	42450
479	39099	42358
480	39188	42283
481	39273	42206
482	39362	42133
483	39439	42046
484	39528	41973
485	39593	41874
486	39672	41790
487	39760	41715
488	39854	41647
489	39933	41563
490	40030	41497
491	40102	41406
492	40174	41315
493	40251	41229
494	40335	41150
495	40414	41066
496	40497	40986
497	40574	40899
498	40644	40807
499	40719	40719
500	40795	40632
501	40867	40542
502	40946	40458
503	41027	40375
504	41095	40281
505	41170	40194
506	41247	40108
507	41329	40027
508	41406	39942
509	41488	39861
510	41571	39782
511	41659	39706
512	41746	39630
513	41826	39547
514	41914	39473
515	41977	39374
516	42057	39291
517	42130	39202
518	42221	39129
519	42311	39056
520	42386	38969
521	42463	38883
522	42555	38812
523	42623	38719
524	42692	38626
525	42777	38548
526	42854	38463
527	42944	38390
528	43024	38307
529	43093	38214
530	43172	38131
531	43244	38041
532	43320	37956
533	43397	37871
534	43481	37792
535	43578	37725
536	43660	37644
537	43729	37551
538	43817	37476
539	43888	37386
540	43960	37297
541	44028	37205
542	44106	37120
543	44174	37028
544	44246	36939
545	44323	36854
546	44393	36764
547	44473	36682
548	44544	36592
549	44633	36518
550	44720	36442
551	44813	36370
552	44897	36291
553	44976	36208
554	45065	36133
555	45153	36057
556	45224	35968
557	45304	35886
558	45395	35812
559	45477	35731
560	45562	35654
561	45635	35566
562	45713	35482
563	45800	35406
564	45888	35330
565	45959	35240
566	46052	35168
567	46143	35094
568	46216	35007
569	46305	34932
570	46389	34852
571	46456	34761
572	46531	34675
573	46601	34585
574	46690	34510
575	46760	34421
576	46835	34335
577	46912	34251
578	46978	34158
579	47061	34079
580	47135	33992
581	47211	33907
582	47300	33832
583	47383	33752
584	47471	33676
585	47544	33589
586	47629	33511
587	47720	33436
588	47791	33348
589	47877	33270
590	47944	33179
591	48026	33099
592	48096	33010
593	48168	32923
594	48253	32844
595	48329	32760
596	48416	32682
597	48499	32603
598	48564	32511
599	48640	32427
600	48716	32342
601	48801	32264
602	48891	32189
603	48969	32105
604	49050	32024
605	49123	31938
606	49207	31858
607	49288	31778
608	49368	31696
609	49456	31619
610	49546	31544
611	49624	31461
612	49716	31387
613	49799	31306
614	49882	31227
615	50013	31177
616	50083	31089
617	50149	30998
618	50217	30909
619	50295	30826
620	50387	30751
621	50459	30664
622	50524	30574
623	50612	30497
624	50694	30416
625	50778	30337
626	50859	30255
627	50949	30180
628	51036	30102
629	51123	30024
630	51196	29939
631	51269	29853
632	51351	29772
633	51424	29686
634	51504	29605
635	51577	29519
636	51658	29438
637	51758	29367
638	51822	29276
639	51894	29190
640	51964	29103
641	52048	29024
642	52126	28940
643	52194	28853
644	52272	28769
645	52347	28685
646	52437	28609
647	52510	28524
648	52584	28439
649	52661	28356
650	52739	28273
651	52822	28193
652	52905	28113
653	52965	28021
654	53030	27932
655	53101	27845
656	53173	27760
657	53240	27672
658	53321	27591
659	53407	27513
660	53478	27427
661	53557	27344
662	53645	27267
663	53730	27188
664	53805	27105
665	53876	27019
666	53963	26941
667	54056	26866
668	54131	26782
669	54198	26694
670	54281	26614
671	54349	26527
672	54427	26445
673	54503	26362
674	54578	26278
675	54653	26195
676	54727	26110
677	54803	26027
678	54888	25948
679	54968	25867
680	55053	25788
681	55117	25699
682	55195	25617
683	55278	25537
684	55353	25454
685	55422	25368
686	55507	25289
687	55570	25200
