iter	RMSE
0	0.06226218812
1	0.05993619234
2	0.05774149687
3	0.05567834528
4	0.05373734502
5	0.05192125107
6	0.05021267618
7	0.04860882017
8	0.04711595133
9	0.04570455047
10	0.04438167683
11	0.04315611592
12	0.04200008346
13	0.04093024159
14	0.03993506103
15	0.03900291555
16	0.03813790916
17	0.03733445753
18	0.03658457581
19	0.03590519189
20	0.03526289345
21	0.03467307592
22	0.03412261353
23	0.0336214709
24	0.03315332493
25	0.03272390299
26	0.03233027065
27	0.03196590201
28	0.03163349358
29	0.03133387596
30	0.03105580176
31	0.03080203938
32	0.03055294988
33	0.03033006961
34	0.03011526682
35	0.02992646185
36	0.02975389414
37	0.02959412622
38	0.02944286623
39	0.02929966361
40	0.02918205259
41	0.02907323453
42	0.02895548851
43	0.02885582458
44	0.0287635976
45	0.02867591462
46	0.02859199944
47	0.02852075506
48	0.02844994594
49	0.02838598411
50	0.02832335639
51	0.02827214674
52	0.02822840749
53	0.02818255437
54	0.02813483774
55	0.02809298583
56	0.02805081508
57	0.02801420938
58	0.02797902035
59	0.02794646826
60	0.02791618788
61	0.02789064596
62	0.02786576879
63	0.02783787267
64	0.02781605681
65	0.02778757212
66	0.02776437871
67	0.02774213907
68	0.02772129424
69	0.02770112976
70	0.02768205028
71	0.02766755486
72	0.02765272594
73	0.02762981316
74	0.02761665133
75	0.02760212435
76	0.02758990236
77	0.02755975331
78	0.02754589988
79	0.02753267578
80	0.02751519815
81	0.02750563658
82	0.02749375272
83	0.02748106489
84	0.02747112829
85	0.02745542076
86	0.02744874867
87	0.02743377777
88	0.02742555466
89	0.02740502799
90	0.02739397567
91	0.02738577206
92	0.02737462244
93	0.02736510398
94	0.02735720692
95	0.02735059044
96	0.027342264
97	0.02731890166
98	0.02731225504
99	0.02729902259
100	0.02728933912
101	0.02728008005
102	0.02727279593
103	0.02724772033
104	0.02724229849
105	0.0272363963
106	0.02723040288
107	0.02722296963
108	0.02721741145
109	0.02721290499
110	0.02720838065
111	0.02720532793
112	0.02719979865
113	0.02719378524
114	0.02717119631
115	0.02716315717
116	0.02715876608
117	0.02715233327
118	0.02714844586
119	0.02712567837
120	0.02712098265
121	0.02711521862
122	0.02710938717
123	0.02710505678
124	0.02709955719
125	0.02709619883
126	0.02707255614
127	0.02706053368
128	0.02705627093
129	0.02705170447
130	0.02704649747
131	0.02703912225
132	0.02703396325
133	0.02701890794
134	0.02701449094
135	0.02700950998
136	0.02700446652
137	0.02699832013
138	0.02699347533
139	0.0269790898
140	0.02697024021
141	0.02695587051
142	0.0269471836
143	0.02694264302
144	0.02693919732
145	0.02693563635
146	0.02693265245
147	0.02692860875
148	0.02692445431
149	0.02692054126
150	0.02690919833
151	0.02690237368
152	0.02689921484
153	0.0268948548
154	0.02689084718
155	0.02688631396
156	0.02688250458
157	0.02687712434
158	0.02687126071
159	0.02686606273
160	0.02686283929
161	0.0268519956
162	0.02684775723
163	0.02684347135
164	0.02683878689
165	0.02683570733
166	0.02683290036
167	0.02682846745
168	0.02681737872
169	0.02680907644
170	0.02680426875
171	0.02679911226
172	0.02679275569
173	0.0267896596
174	0.02678174965
175	0.02677781939
176	0.02677317241
177	0.0267691126
178	0.02676551161
179	0.02676357419
180	0.02676095474
181	0.02675803582
182	0.02675442358
183	0.02675069746
184	0.02674749449
185	0.02674268956
186	0.02673988311
187	0.02673604185
188	0.02673090224
189	0.0267277272
190	0.02672436396
191	0.02672075282
192	0.02671619233
193	0.02671368108
194	0.02670903182
195	0.02670398222
196	0.02669981353
197	0.02669586906
198	0.02669317513
199	0.02668976476
200	0.02668676994
201	0.02667643414
202	0.02667382221
203	0.02666411291
204	0.026661311
205	0.02665735315
206	0.02665471716
207	0.02665116163
208	0.0266485063
209	0.02664565356
210	0.02664341858
211	0.02664046292
212	0.02663738439
213	0.02662587008
214	0.02662332001
215	0.02662129882
216	0.02661636432
217	0.02661213213
218	0.02660890885
219	0.0266060934
220	0.02660342298
221	0.02660019592
222	0.02659706408
223	0.02659469339
224	0.02659062445
225	0.0265871916
226	0.02658494713
227	0.02658228168
228	0.02657196105
229	0.02656946369
230	0.02656666608
231	0.02656418952
232	0.02656158975
233	0.02655688636
234	0.02654983912
235	0.02654764384
236	0.02654500381
237	0.02654218254
238	0.02653880488
239	0.02653708615
240	0.02653440959
241	0.02653327056
242	0.02652504386
243	0.02652315367
244	0.02652058815
245	0.02651734125
246	0.02651377299
247	0.02651180442
248	0.02650925863
249	0.02650736125
250	0.02650508285
251	0.0265008061
252	0.02649699516
253	0.02649348879
254	0.02649102872
255	0.02648784073
256	0.02648506969
257	0.02648308412
258	0.02647747662
259	0.02647404226
260	0.0264714401
261	0.02646830043
262	0.02646589531
263	0.02646368752
264	0.02646069938
265	0.0264590037
266	0.02645765696
267	0.02645599325
268	0.02645365209
269	0.02645129976
270	0.0264489227
271	0.02644648589
272	0.02644276356
273	0.02643992267
274	0.02643812278
275	0.02643587117
276	0.02643418934
277	0.02643227358
278	0.02642997159
279	0.02642846712
280	0.02642673328
281	0.02642464512
282	0.02642341998
283	0.02642151191
284	0.02641609325
285	0.02641460262
286	0.02641263678
287	0.02640763436
288	0.02640626204
289	0.02640527436
290	0.02640185229
291	0.02639948138
292	0.02639740115
293	0.0263950033
294	0.02639299047
295	0.02639006027
296	0.02638818926
297	0.02638649631
298	0.02638467036
299	0.02638238163
300	0.02638053628
301	0.02637549833
302	0.02637371414
303	0.02637157496
304	0.02636985732
305	0.0263672671
306	0.02636563181
307	0.02636450803
308	0.02636302251
309	0.02636069818
310	0.02635845912
311	0.02635639439
312	0.02635415947
313	0.02635261037
314	0.02635097653
315	0.02634912146
316	0.02634676154
317	0.02634508753
318	0.02634251745
319	0.02634009721
320	0.02633851428
321	0.02633709106
322	0.02633508734
323	0.02633360209
324	0.02633228878
325	0.02633067402
326	0.0263276788
327	0.02632581479
328	0.0263222587
329	0.02632003321
330	0.0263182393
331	0.02631551365
332	0.02631371191
333	0.02631181774
334	0.02630965714
335	0.02630810309
336	0.02630623132
337	0.02630464889
338	0.0263026504
339	0.02629995728
340	0.02629560282
341	0.02629415157
342	0.02629239926
343	0.02629111968
344	0.02628900417
345	0.02628732992
346	0.02628521849
347	0.02628363109
348	0.02628123817
349	0.02627954294
350	0.02627751188
351	0.02627244172
352	0.02627047551
353	0.02626708164
354	0.02626537423
355	0.02626289485
356	0.02626062619
357	0.02625833179
358	0.02625670419
359	0.02625470783
360	0.02625305197
361	0.0262516309
362	0.02624990864
363	0.02624785902
364	0.02624608462
365	0.02624476801
366	0.02624170821
367	0.02624009576
368	0.0262385921
369	0.02623657782
370	0.02623459302
371	0.02623337059
372	0.02623108811
373	0.02622684489
