epoch,seed,lr,train_loss,val_loss,mean_abs_delta,epoch_time_s
1,44,0.001,0.0009041106090604691,0.004770239825387869,0.05387661299284767,16.59545765599978
2,44,0.0009999383779245895,0.0009050890536963055,0.004751653013312642,0.11925318004453883,16.85967360399991
3,44,0.000999753526902683,0.0009064617620039164,0.004753847531152561,0.1147566144080723,16.74491165100153
4,44,0.0009994454925435043,0.0009047910541501212,0.004787345911609009,0.018166839747744447,16.620007125000484
5,44,0.000999014350849922,0.0009060126953261068,0.004772108931587461,0.028334947302937508,16.61401972299973
6,44,0.0009984602081996978,0.0009062480042349168,0.004762036689926925,0.033488154192181194,16.596071226000277
7,44,0.0009977832013192388,0.0009057612249122586,0.004751911455327097,0.05442763908820994,16.507084456001394
8,44,0.0009969834972498627,0.0009080448426637735,0.004760647692498477,0.023965147816959548,16.42834054999912
9,44,0.000996061293306582,0.0009150284735122854,0.0047834645580116875,0.00858032884185805,16.389457541999946
10,44,0.0009950168170294207,0.0009089935545304443,0.004750951112809536,0.02624141381067388,16.353039624000303
11,44,0.0009938503261272716,0.0009085785743575228,0.004832214052679346,0.003247224260121584,16.3656784169998
12,44,0.0009925621084143099,0.0009212221430369922,0.004789814623483621,0.028193175573559368,16.330187618999844
13,44,0.0009911524817389804,0.000919335420634124,0.004750797372681144,0.010329693501048228,16.294984546000705
14,44,0.0009896217939055723,0.00092280383164584,0.004751157741445829,0.010799840037875316,16.13908896400062
15,44,0.0009879704225884047,0.0009159645222529959,0.0048182395009515695,0.0003602062934078276,15.895608450999134
16,44,0.0009861987752386398,0.0009229455825920075,0.004805422115810763,0.00023763622277114978,15.83255317000112
17,44,0.0009843072889837514,0.0009816431542029763,0.004841271431787926,0.0012781882028588478,15.826725042001272
18,44,0.0009822964305196704,0.000926811882428888,0.004997317845289431,0.004936926039483617,15.862955814998713
19,44,0.0009801666959956333,0.0010163511166356946,0.004849850318243946,0.0015070070512592793,15.841742205000628
20,44,0.0009779186108917661,0.0009638248282776735,0.004744891541229342,0.006899588248308967,15.873997668000811
21,44,0.0009755527298894296,0.000912373813985989,0.004788473351201152,0.0010622219483861152,15.837522257999808
22,44,0.0009730696367343592,0.0009267677477032136,0.004755038706421414,0.00621242166551597,15.835954714999389
23,44,0.0009704699440926359,0.0009167973293480858,0.005228842570966876,0.006917899364934248,16.006525055001475
24,44,0.0009677542933995191,0.0009710027015436504,0.004774463263696388,0.0018499489695600728,15.849817207001252
25,44,0.0009649233547011819,0.000918546112913291,0.004762199844288475,0.006296606789178708,15.837754301999666
26,44,0.000961977826489388,0.0009230213872180715,0.0047460389820009686,0.002776117091450621,15.78039613600049
27,44,0.0009589184355291488,0.0009174224904785722,0.004819190523395424,0.0001902945788221105,15.764454886999374
28,44,0.0009557459366794051,0.0009313525204838774,0.004970341097385458,0.0026925690335166804,15.799447410001449
29,44,0.000952461112706777,0.0009340066216112572,0.004747162961661268,0.004071563893162152,15.807938257999922
30,44,0.0009490647740924278,0.0009281129642366037,0.004904003591304097,0.009254456497728825,15.790581901999758
31,44,0.00094555775883209,0.0009220593211327885,0.006878983797779416,0.02194911055266857,15.79627872600031
32,44,0.0009419409322293028,0.0009416426927585281,0.004744972782004077,0.0030159135759972476,15.758840677999615
33,44,0.0009382151866819101,0.0009198318338179487,0.004747039075214963,0.0023799091440570705,15.707314930999928
34,44,0.0009343814414618769,0.0009297195598048995,0.004807241387692664,0.00011599184054990902,15.694974496000214
35,44,0.0009304406424884702,0.0009179573029603304,0.008779664770426118,0.02502450149725465,15.658863906000988
36,44,0.0009263937620948695,0.0009556188922912134,0.004806243696400677,0.00019150505164254676,15.658658198999547
37,44,0.000922241798788257,0.0009355957193647401,0.004896791877827662,0.0023507082369178534,15.619312865999746
38,44,0.0009179857770034514,0.0009135928289112398,0.004788136628442718,0.0007099528413485078,15.642037270999936
39,44,0.000913626746850144,0.0009318334743542345,0.0048805358237586915,0.001911780344979728,15.648760605999996
40,44,0.0009091657838537996,0.0009103304937371384,0.004761093241326949,0.0016445219379794948,15.631492985001387
41,44,0.0009046039886902867,0.0009180519836402293,0.004818062111392946,0.00019243264635887872,15.665211233001173
42,44,0.0008999424869143022,0.000962782735044484,0.004763813643127351,0.002707470194710528,15.662057864999952
43,44,0.0008951824286816577,0.0009219979579260542,0.004933402649304994,0.0028386914636939764,15.671699878999789
44,44,0.0008903249884654961,0.0009373589206715825,0.005634480322067461,0.019662529120550436,15.636958278000748
45,44,0.0008853713647665072,0.0009306626205956089,0.004791642176261281,0.0006469081306610914,15.648096259999875
46,44,0.000880322779817216,0.0009145163985213927,0.004958132581497707,0.0027418960817158222,15.651952001999234
47,44,0.0008751804792804151,0.0009314367519020719,0.004874359290731852,0.0014830191879916716,15.642769611000404
48,44,0.000869945731941816,0.0009260702813123116,0.004746118166675682,0.0036526811035240397,15.659322092000366
49,44,0.0008646198293969955,0.0009177323239381915,0.004743479615118464,0.00266469523365445,15.671984100999907
50,44,0.0008592040857327133,0.0009315768089066496,0.0047525359550490975,0.004240632029798101,15.658630597999945
51,44,0.0008536998372026809,0.0009375987638585206,0.004915285567917368,0.0024584224447607994,15.646319000999938
52,44,0.0008481084418978613,0.0009164823178730715,0.0047462733739795275,0.002450745552778244,15.654158293000364
53,44,0.0008424312794113804,0.0009238553234431261,0.004777504918713342,0.005864558138829821,15.67888377700001
54,44,0.000836669750498132,0.0009257583341253447,0.005028888120945981,0.010591289138092715,15.656255566000254
55,44,0.0008308252767291643,0.0009384788118965798,0.004854899425374563,0.0011749425971442286,15.650668876000054
56,44,0.000824899300140927,0.0009279790269289861,0.004941950952771175,0.002606079215183854,15.630747039000198
57,44,0.0008188932828794707,0.0009288244724857731,0.004759634386145455,0.001933157307041042,15.646088928000609
58,44,0.000812808706839685,0.0009102029133966919,0.005048325429122676,0.007863895858035368,15.64171670199903
59,44,0.000806647073299662,0.0009308870352994083,0.004782291755819803,0.006267361808568239,15.646201247000135
60,44,0.0008004099025502793,0.0009361363368274613,0.004977279657717137,0.0034748313345891587,15.651211970998702
61,44,0.0007940987335200906,0.0009176573120215434,0.004874013961799552,0.008152357138255063,15.65202926299935
62,44,0.0007877151233956179,0.0009280650070434341,0.004745406401686042,0.003554071970831822,15.62491774099908
63,44,0.0007812606472371395,0.0009225560233817767,0.005061171079218826,0.004571967840413837,15.622156213999915
64,44,0.000774736897590067,0.0009194096294823655,0.004749513118226519,0.002658326644450426,15.635599889999867
65,44,0.0007681454840920089,0.0009293517554612925,0.004748011071248637,0.002761235008673633,15.648949096999786
66,44,0.0007614880330756165,0.0009162809425507182,0.005469842000713791,0.010502889588036957,15.638998266000272
67,44,0.0007547661871673105,0.0009187590212450694,0.004784370856428081,0.0005815589170464698,15.632658299000468
68,44,0.0007479816048819877,0.0009227593817108832,0.004748552118304788,0.0027190570527797237,15.657058262999271
69,44,0.0007411359602138068,0.0009186127789365917,0.004755592023310087,0.0021356267251950853,15.637881753000329
70,44,0.0007342309422231565,0.0009251543936335435,0.004771236802780014,0.0013976880513569888,15.653147105998869
71,44,0.0007272682546199037,0.0009242258724259307,0.005221443795188165,0.006780894527978757,15.627716163999139
72,44,0.0007202496153430296,0.0009260719678546223,0.004762072554405998,0.005814457832671264,15.641287627000565
73,44,0.000713176756136754,0.0009256241980237665,0.004753767093301148,0.004605813335408182,15.6497988659994
74,44,0.000706051422123252,0.0009274239892582014,0.004748433958465124,0.0033484575722147435,15.656526396000118
75,44,0.000698875371372073,0.000923758921197663,0.004809207644190311,4.8186728022033896e-05,15.662232995999148
76,44,0.0006916503744663626,0.000919332198988078,0.004902805631418768,0.007320581305333797,15.63801603200045
77,44,0.0006843782140659969,0.0009174451524967928,0.00479660726919332,0.0003276286263237981,15.652310796000165
78,44,0.0006770606844677392,0.000931165345857646,0.0047473556889385425,0.00273844476460534,15.633038470001338
79,44,0.0006696995911625234,0.0009210268844518874,0.00476707162691609,0.0017657582853537273,15.627372484001171
