Dataset,Model,Seq_Len,MSE (x10^-3),MAE (x10^-3),RMSE,RSE,MAPE,Inference Time (ms)
SDN,ST-WaveFormer,60,14.159325820704266,70.14489918947213,0.11899288992087038,0.1355779369672139,0.4224085509777069,3.6218087544559814
SDN,LocalSpatialTCN,60,15.785265093048332,76.90860827763869,0.12563708921273548,0.151146575808525,0.46553753813107807,1.7027938772212348
SDN,LightGBM,60,5.77959919389684,39.52386590869605,0.07583500100882343,0.055340636283202384,0.20745619598328852,2.5532755199856183
SDN,CatBoost,60,8.4251227494995,55.739026498127956,0.09178838443892536,0.08067197016252238,0.3088564153440329,1.1757987400051206
GEANT,ST-WaveFormer,24,0.7680653943679501,5.941868526861051,0.0277120387181639,0.13795138895511624,1.3797642588615417,3.688648558890611
GEANT,LocalSpatialTCN,24,0.8394847779224,5.916352073351467,0.028972939277688636,0.15077894429365793,1.4017825524012248,1.786003186252321
ABILENE,ST-WaveFormer,24,1.9399894323820335,17.253319422403933,0.04404440522193903,0.09675659239292139,0.3049318591753642,3.1237635888747817
ABILENE,LocalSpatialTCN,24,1.9985349693645333,17.61432488759353,0.04470479364196453,0.09967653950055437,0.31196730335553485,1.5047333821793372
