mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,gate_train_time_s,mean_w_global,mean_w_local,mean_w_ml,gate_loss,run
0.0008500951305027588,0.0055588086151295915,0.029156390903243817,0.15268466812789208,1.278378641474911,0.264664202849437,81.57817305949469,2.69890294122674,20.7707923000562,0.2126692533493042,0.18632420897483826,0.6010065078735352,huber,0
0.0008533605543844038,0.005546858944195595,0.029212335654384157,0.1532711673840059,1.271982662210533,0.2640952589711658,81.72636827043107,2.6319970595924294,20.745526800048538,0.25982666015625,0.15295390784740448,0.5872193574905396,huber,1
0.0007400365740479971,0.005480941424300568,0.02720361325353669,0.13291716968687423,1.207889822709143,0.260956815274913,79.80738169621564,2.750505883287748,21.13947429996915,0.29901576042175293,0.21205198764801025,0.488932341337204,huber,2
0.0007885804767498516,0.005547300387571481,0.02808167510583818,0.1416360876146617,1.2932535535783571,0.26411627683079564,81.4476553326137,3.2027147056343144,21.83438939996995,0.2118249088525772,0.17426937818527222,0.6139058470726013,huber,3
0.0008409116866349936,0.005491609668970812,0.028998477315800457,0.15103523969463944,1.221414773333203,0.26146474829922467,80.18194382578781,2.7938705889562914,21.686727399996016,0.2934293746948242,0.19101957976818085,0.5155510902404785,huber,4
0.0008161027176297246,0.005479683985514049,0.0285675115757345,0.1465793275699289,1.1873102279637462,0.26089694650498263,80.73667039316501,2.636455882833723,21.687207699986175,0.35794615745544434,0.1410558819770813,0.5009979009628296,huber,5
0.0007398374656398148,0.005424929391987194,0.0271999534124567,0.1328814080407549,1.1305859881532254,0.25828998845848905,79.04145802600833,2.8349588238223293,21.594635299989022,0.4147641360759735,0.20501424372196198,0.3802216947078705,huber,6
0.0007350762876973473,0.005377630137114255,0.027112290343999847,0.13202625801347082,1.0576180840396738,0.25603799159134616,81.75622745835935,2.794847058419905,21.54228580003837,0.5606459379196167,0.180895134806633,0.25845903158187866,huber,7
0.0007938015550256275,0.005584311339384648,0.02817448411285693,0.1425738398440329,1.3284872920358044,0.2658784303310385,82.52773737580593,3.3706794133382467,22.194762900006026,0.2013261318206787,0.15628859400749207,0.6423853039741516,huber,8
0.0007483454044888561,0.005394157697699155,0.027355902552993132,0.1344095097472663,1.0732023586424462,0.25682489647512696,79.69547402299084,2.7815352950710803,21.990156599960756,0.4703052341938019,0.23165680468082428,0.2980378568172455,huber,9
