dataset,model,mse,n_eval,mse_x1e3
sdn,persistence,0.02655449157545778,,26.55449157545778
sdn,seasonal_naive,0.040558774845394434,965.0,40.55877484539443
sdn,historical_average,0.03205131899201122,,32.05131899201122
geant,persistence,0.00085459491547314,,0.8545949154731399
geant,seasonal_naive,0.003550758113904701,1867.0,3.550758113904701
geant,historical_average,0.004867681132431,,4.867681132431
abilene,persistence,0.0023630797279148657,,2.3630797279148656
abilene,seasonal_naive,0.010817372549643088,9275.0,10.817372549643089
abilene,historical_average,0.013540848410791867,,13.540848410791867
