mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,run,fit_time_s
0.0027264937245246,0.0175243683420618,0.0522158378705604,0.1359833262928548,0.3140846225041157,0.1585566707574541,28.88785864907199,0.7547787994553801,0,324.3816537857056
0.002722601261937,0.0175251240912975,0.0521785517424262,0.1357891905039583,0.3152096502691235,0.1585635086120575,29.16682476551377,0.9364384000946302,1,329.42510533332825
0.0027363690105133,0.017539743320012,0.0523103145709657,0.1364758541959129,0.3162196590656917,0.1586957802117392,28.960719978317773,1.3450293990899809,2,325.9543294906616
0.0027619747670936,0.0175695801351254,0.0525544933102168,0.1377529361567865,0.3159704522573107,0.1589657372212047,29.02670798431988,0.9344862010038923,3,324.9449100494385
0.0027538231222777,0.0175729493907074,0.0524768817888199,0.1373463745106531,0.3158679369472746,0.1589962215124257,29.033220573563845,1.186186600534711,4,325.09842586517334
0.0027294079945738,0.0175382343391005,0.0522437364147501,0.1361286749255865,0.3212511733059932,0.1586821272808664,29.2211711432228,0.8859990000473772,5,340.16100454330444
0.002735202704833,0.0175213817152982,0.0522991654315158,0.1364176849346164,0.3145219284872501,0.1585296484085069,29.04588200951325,1.195682800062059,6,339.4945516586304
0.0027552915792685,0.0175676876795073,0.0524908713898768,0.1374196135078061,0.3153332595036091,0.1589486146946458,29.122472203177196,1.3505317999261024,7,338.2676856517792
0.0027239761107512,0.017528157002483,0.0521917245427971,0.1358577608121226,0.3155817395918288,0.1585909497323822,28.973309134236164,1.0043927999504376,8,339.3661448955536
0.0027025500334718,0.0175026225485741,0.051986056144623,0.1347891395159717,0.3166661397278767,0.1583599195507301,28.979796185333168,1.377223400049843,9,338.49450755119324
