mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,gate_train_time_s,mean_w_global,mean_w_local,mean_w_ml,gate_loss,run
0.002508540188894434,0.020669235713322923,0.05008532907842809,0.1251129375273525,0.39418092983080055,0.18701074628404982,32.14808891595185,0.774799333497261,26.469838699966203,0.23026873171329498,0.3936350643634796,0.3760960102081299,huber,0
0.002818738237484473,0.021503371656906804,0.05309179067882786,0.14058400282906347,0.41626111922207976,0.19455782676034544,32.885544339219095,0.786581999855116,27.28906460001599,0.26242879033088684,0.239267498254776,0.49830374121665955,huber,1
0.0033498581653047983,0.02429892858569992,0.05787795923583345,0.16707350243648345,0.4674624382888707,0.21985141742737538,35.13319894079554,0.762020000256598,26.446878899994772,0.3563777208328247,0.20527122914791107,0.4383508563041687,huber,2
0.0032045288730392384,0.02285293581563889,0.056608558302073356,0.1598252332061911,0.44285430110132995,0.20676838954956425,33.90882264114065,0.7504146666421244,26.531699700048193,0.2987269163131714,0.1505858302116394,0.5506871342658997,huber,3
0.002551910867175701,0.020121102249612714,0.05051644155298056,0.12727604138606108,0.3782852557549831,0.1820513540001042,31.562766750862654,0.78497066666993,26.6205498999916,0.19739067554473877,0.2471216917037964,0.5554878115653992,huber,4
0.0020817079083110712,0.016948081823423954,0.045625737345396086,0.10382476335669305,0.29035566176613603,0.1533425557597508,28.37238857574412,0.7661873331138244,26.518289499974344,0.1818908154964447,0.22771067917346954,0.5903984904289246,huber,5
0.001977601627964708,0.016869070122088436,0.044470233054985306,0.09863248355713361,0.2872203359119093,0.1526276750821647,28.461088297808164,0.7875026665472736,26.432627699978184,0.2946055233478546,0.254525363445282,0.45086926221847534,huber,6
0.002062725104308724,0.01687679396343193,0.04541723356071706,0.10287799982396037,0.2890798384435383,0.15269755871762467,28.398898969979996,0.7535639998968691,26.799023500003386,0.295596718788147,0.14422444999217987,0.5601788759231567,huber,7
0.0020093169345138276,0.016829653797484644,0.04482540501226762,0.10021427809425427,0.2896564784730222,0.15227104475571396,28.459547684789012,0.770454000060757,26.629810800019186,0.27676156163215637,0.19131281971931458,0.53192538022995,huber,8
0.0019268156676332773,0.016802412973757917,0.043895508513209835,0.09609954399716858,0.2811046699476252,0.1520245757113243,29.01953453763933,0.7908000001528611,27.513230099983048,0.4843901991844177,0.2682438790798187,0.24736589193344116,huber,9
