mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,gate_train_time_s,mean_w_global,mean_w_local,mean_w_ml,gate_loss,run
0.0028957002537933624,0.021728242207064406,0.05381171112121749,0.14442246791766822,0.41691618206957964,0.1965924065573706,32.990038602946484,0.7971593334029118,26.460639299999457,0.2631736099720001,0.2072412520647049,0.529585063457489,mse,0
0.005111459922026925,0.03270444626388305,0.07149447476572525,0.25493303584662363,0.6361384204093742,0.2959027120036705,42.83503338185574,0.777412666939199,26.633979800040834,0.6094497442245483,0.16467082500457764,0.22587956488132477,mse,1
0.0031709707814771945,0.02366566535380428,0.05631137346466693,0.15815153013708078,0.4575906677302442,0.21412178952852098,34.66243537302539,0.7809613330755383,26.46367620001547,0.33893296122550964,0.23963043093681335,0.42143669724464417,mse,2
0.002943017586715409,0.021833346934831997,0.05424958605109728,0.1467824103830293,0.42434688057420233,0.19754337125923085,33.08525304265351,0.7914626668207347,26.417577699990943,0.2665347754955292,0.1968563199043274,0.5366089344024658,mse,3
0.0029183909939617496,0.02205861341549013,0.05402213429661725,0.1455541640211251,0.42140978249843414,0.19958153334925455,33.28095662067418,0.7620846666395664,27.104331100010313,0.2761985659599304,0.22138895094394684,0.5024123787879944,mse,4
0.0020901844852010995,0.016898954088102075,0.04571853546649433,0.10424753092469255,0.2897948337695775,0.15289805870271314,28.359684692461617,0.7806713335836927,27.400854599953163,0.25397899746894836,0.1336633861064911,0.6123576164245605,mse,5
0.0020006519026350986,0.016855922239739852,0.04472864744920305,0.09978211137158609,0.2859500656976753,0.1525087159041783,28.47039853295786,0.7711586666603883,26.027173299982678,0.35611143708229065,0.15599510073661804,0.48789337277412415,mse,6
0.00199566871257729,0.016852100768115743,0.04467290803806363,0.09953357576942605,0.28855515799792975,0.15247414006062804,28.397783420478067,0.7715066665938745,26.1289209999959,0.2613120377063751,0.23495547473430634,0.503732442855835,mse,7
0.0021569094720365043,0.016947769091311737,0.04644253946584429,0.10757542622667321,0.29523936185614996,0.15333972622766248,28.489160166974038,0.7897093333303928,26.20711580000352,0.188180610537529,0.15390603244304657,0.657913327217102,mse,8
0.00198987746008094,0.016842129552661168,0.04460804254930875,0.09924473821562138,0.28529781119249986,0.15238392267332923,28.506115621596184,0.7861846666006992,26.240805400011595,0.2922360599040985,0.25372961163520813,0.45403435826301575,mse,9
