mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,run,fit_time_s
0.0027642110609513,0.0174802502526333,0.0525757649583091,0.1378644708632884,0.3136213275040656,0.1581574998861613,28.63472894187336,1.915130401175702,0,240.06995368003845
0.0027888714093487,0.0175177803579774,0.0528097662307714,0.1390944007811349,0.3188204882894624,0.158497064111267,28.732476937004144,1.9690580003953075,1,239.98925185203552
0.0027979797784886,0.0175225043697872,0.0528959334778074,0.1395486788605621,0.3136331276548228,0.1585398059419887,28.617062179359948,1.8371731988736428,2,241.45125699043277
0.002779494545371,0.0174999305937542,0.0527209118412328,0.1386267315756603,0.3126192382367572,0.1583355633293956,28.52355388394223,1.809839199995622,3,240.49463200569156
0.0027918427360392,0.0175168161561307,0.0528378911013607,0.139242595102379,0.3114317644195595,0.1584883402228065,28.530353214831088,1.9985875995189415,4,241.74747252464292
0.0028066236415199,0.0175255894552491,0.0529775767803692,0.1399797897912208,0.3134144104515152,0.1585677191238105,28.619002077879,1.862534599877108,5,255.4159345626831
0.0028380298122618,0.0175736347592577,0.0532731622138376,0.1415461662421165,0.3125060991096689,0.1590024225779059,28.5470362591736,2.001555600145366,6,253.1401422023773
0.002832831830547,0.0175565506173451,0.053224353735363,0.1412869179492518,0.3131196893405691,0.1588478489800715,28.596966727431735,2.0512635999693885,7,254.3635070323944
0.0027668766349212,0.0174871351107394,0.0526011086852856,0.1379974158290669,0.3158880758179288,0.1582197925838859,28.60545067412767,2.0772027999555576,8,255.79173278808597
0.0027505692949457,0.0174753472807987,0.0524458701419446,0.1371840905267155,0.3149766705553052,0.158113138864084,28.57098524343284,1.9609578001109185,9,256.75626277923584
