mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,run,fit_time_s
0.0062365356322093,0.0414992481416452,0.078971739452853,0.0597158796848368,0.2658407655362066,0.0825718560327553,29.85297467780556,1.7191599938087163,0,16.445690870285034
0.0063283891094079,0.0410812716173788,0.0795511728977512,0.0605953922085361,0.2516259033163809,0.0817402000647003,22.941126234285907,1.1917199997697026,1,17.928937911987305
0.0058611874988161,0.0410135401582545,0.076558392739243,0.0561218580523986,0.2583854810090301,0.0816054334715176,29.79805780139503,2.216159994713962,2,19.223857641220093
0.0050088904837753,0.0398870916013317,0.0707735154120197,0.0479609705008123,0.2288850289923804,0.0793641170083117,15.063989845582087,1.530480000656098,3,33.44651460647583
0.0061956775083879,0.0413349159134422,0.0787126261052694,0.0593246562636694,0.2576719605265802,0.0822448810224514,24.89278984049965,6.200720008928329,4,23.864036798477173
0.0069076417997698,0.042231768949511,0.0831122241296058,0.0661418343367786,0.286518365948624,0.0840293668407018,24.497680348782616,2.3132599948439747,5,31.44173264503479
0.006435257004018,0.0418721900269726,0.0802200536276189,0.0616186703092421,0.2767321312412693,0.083313905709384,27.446459509487216,2.128299989271909,6,20.27257084846497
0.0061259719138384,0.0411330623582872,0.0782685882959341,0.0586572134487867,0.2549000021674479,0.0818432491027823,29.91792641723198,1.542479998897761,7,20.41564178466797
0.0051993377645012,0.0399196936954049,0.0721064335860628,0.0497845353087157,0.2275088100573978,0.07942898602495,27.776312233027245,1.7134000023361295,8,20.52365183830261
0.0054891777366605,0.0404949591502548,0.0740889852586778,0.0525598018871556,0.2418227644644578,0.0805736028179183,18.98889321986932,2.1186600031796843,9,19.888317823410038
