mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,run,fit_time_s
0.0010161364814097,0.0064335986003732,0.0318768957304456,0.1825071758085798,1.6612148169169392,0.3063144214727279,89.7059973934036,0.9808728002099087,0,35.972349643707275
0.0010160461326636,0.0064050920941854,0.0318754785479939,0.1824909483678893,1.633102534018761,0.3049571788945806,88.65477912255851,1.057496200519381,1,34.70248007774353
0.0010444518861426,0.006456543183094,0.0323179808487888,0.1875928750667377,1.6320164502424048,0.3074068515447014,87.74042137575036,1.102381999589852,2,41.56432628631592
0.0010014399750081,0.0063549953232048,0.0316455364152376,0.1798675521687686,1.645129092989199,0.3025719875928322,88.83491089449652,1.0204400005022762,3,35.02838754653931
0.0009744987412147,0.0062537562025935,0.0312169623957036,0.1750286662687142,1.6368230679461857,0.2977518232358766,87.682966214317,1.1249194001720753,4,41.47710919380188
0.0009745964049608,0.006298131344907,0.031218526630205,0.1750462075486468,1.6400263315731785,0.2998645981989837,88.71187741953185,1.096881599369226,5,39.2590126991272
0.0010225571520592,0.0064054709783886,0.0319774475538502,0.1836603855284184,1.6431164557142055,0.3049752182070627,86.74259747851085,1.2172046008345203,6,47.31699204444885
0.0010090041447713,0.0063838745231004,0.0317648255901299,0.181226144529227,1.6485030781886836,0.3039469747435821,88.73609757731522,1.0370194009738043,7,36.05968260765076
0.0009696380774178,0.0062161016750371,0.0311390121458257,0.1741556476945809,1.654649406146006,0.2959590280149289,87.98116106264156,1.150644999142969,8,39.18056964874268
0.0010179557679849,0.0064083866276138,0.0319054191006004,0.1828339359051916,1.637706963148054,0.3051140371575604,87.94887252504606,1.1669979990983848,9,41.34226894378662
