mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,gate_train_time_s,mean_w_global,mean_w_local,mean_w_ml,gate_loss,run
0.0062127333795213985,0.04790115977420047,0.07882089430805386,0.059487969104097364,0.26535904873850463,0.09530986332998394,31.511471606919322,1.2146210524645682,4.912720900028944,0.1283014565706253,0.14158622920513153,0.7301123142242432,mse,0
0.006387439641039008,0.04658489986304348,0.07992145920238825,0.06116081100034055,0.2298701450421411,0.09269087554700592,30.67869311744531,1.041452630153416,5.165026999951806,0.1411919742822647,0.1377442181110382,0.7210637927055359,mse,1
0.006357508491833093,0.04660515227589227,0.07973398580174637,0.06087421520257451,0.23185890536030404,0.09273117216424483,30.71245729086243,1.4295157896795947,5.358878200000618,0.13952812552452087,0.12839218974113464,0.7320796251296997,mse,2
0.006627167781728816,0.0474450115960487,0.08140741846864336,0.06345624834740993,0.23397362593001816,0.0944022564844962,30.885228129236804,1.1361421049131375,5.202202899963595,0.1445760428905487,0.14481984078884125,0.7106042504310608,mse,3
0.006465340176557911,0.046745283513291026,0.08040733907149217,0.06190672175605016,0.23230010747604254,0.09300999399544253,30.711556993798023,1.229284208660063,5.1405254999990575,0.1370166689157486,0.1478237360715866,0.7151595950126648,mse,4
0.0060469523993659305,0.04556336033386013,0.0777621527439019,0.057900588281021514,0.22419802366551003,0.09065829860374199,30.315861490894658,1.207168419281707,5.327040900010616,0.12750178575515747,0.11668244004249573,0.7558156251907349,mse,5
0.006438027402069912,0.04694814015394003,0.08023731926024144,0.061645197337467365,0.2315199277278807,0.09341362177370459,30.581006487675154,1.3089631561582025,5.285945300012827,0.13362672924995422,0.1710284799337387,0.6953446269035339,mse,6
0.00615426908707473,0.046102574914110225,0.07844914968994074,0.05892816365127938,0.22980917996092298,0.09173118427480775,30.530756222195727,1.2608210519446355,5.42628200002946,0.1216462254524231,0.11554810404777527,0.762805700302124,mse,7
0.006444891997607097,0.047028125576522056,0.08028008468858946,0.06171092699658556,0.23328789056332533,0.0935727703147967,30.646391541271523,1.1842210538146134,5.415581999986898,0.14171038568019867,0.14855709671974182,0.7097325325012207,mse,8
0.006282602052398954,0.04652031391276359,0.07926286679397203,0.060156973421453805,0.232457465941304,0.09256236763356017,30.605025865857407,1.527684210726109,5.510740799945779,0.15035246312618256,0.1054220050573349,0.7442255020141602,mse,9
