dataset,run,A1,A2,A3,A4,A5,A6,A7,A8,A9,_c7_kept,A10,ridge,lam,anchor,prior
abilene,0,0.0023630797279148613,0.002764211060951365,0.002763107157863463,0.0019105936461205912,,0.002762161487956227,,0.0025952270070997195,0.0025952270070997195,False,0.0027200493217289074,10.0,0.9995,0.0,best_single
abilene,1,0.0023630797279148613,0.0027888714093487234,0.00278778067478799,0.0019510135669216532,,0.002786873832964489,,0.0027132208598731407,0.0027132208598731407,False,0.0027734222996402954,10.0,1.0,0.0,best_single
abilene,2,0.0023630797279148613,0.0027979797784886276,0.0027969055901356965,0.0019014414306069833,,0.002796042251826262,,0.0025672252521875506,0.0025672252521875506,False,0.002733737351020413,10.0,0.999,0.0,best_single
abilene,3,0.0023630797279148613,0.002779494545371049,0.0027784537986219942,0.0019084056641672504,,0.0027775859987035382,,0.0027064088834777684,0.0027064088834777684,False,0.002764370042721222,10.0,1.0,0.0,best_single
abilene,4,0.0023630797279148613,0.002791842736039262,0.002790712224716249,0.0019127839815441855,,0.0027897254110596254,,0.0025627429165581118,0.0025627429165581118,False,0.0027280123934267553,10.0,0.999,0.0,best_single
abilene,5,0.0023630797279148613,0.002806623641519919,0.002805494844746321,0.0019061428750731181,,0.00280453624536337,,0.002574963348575546,0.002574963348575546,False,0.002742237411375183,10.0,0.999,0.0,best_single
abilene,6,0.0023630797279148613,0.002838029812261859,0.0028369160182404184,0.001921180071260621,,0.0028360048939121184,,0.002599063212628276,0.002599063212628276,False,0.0027710561619093445,10.0,0.999,0.0,best_single
abilene,7,0.0023630797279148613,0.00283283183054705,0.002831739192052715,0.001922899327019904,,0.0028308903428591894,,0.00264558209193107,0.00264558209193107,False,0.002783160165237378,10.0,0.9995,0.0,best_single
abilene,8,0.0023630797279148613,0.002766876634921231,0.002765834186053733,0.0019104571655616054,,0.0027649499768429404,,0.0025426872879159147,0.0025426872879159147,False,0.002704331032729052,10.0,0.999,0.0,best_single
abilene,9,0.0023630797279148613,0.002750569294945723,0.0027495123694604535,0.0019051911116645989,,0.0027486732408500696,,0.002581499019372129,0.002581499019372129,False,0.0027059979605499472,10.0,0.9995,0.0,best_single
